Sovereign1,sol_length_km,abnj_length_km,pct_length
Angola,701.5372078213,1553.4085464438,0.45161152835635
Antigua and Barbuda,0,501.0843436693,0
Argentina,651.4184744705,2004.3447310939,0.325003211456035
Australia,13829.6880660748,28410.9217270653,0.486773649898874
Bahamas,350.757569284901,1002.1760437554,0.349995962755731
Bangladesh,0,150.3194179671,0
Barbados,501.0843436691,601.299741119601,0.833335372365366
Benin,50.1040205167,50.1040205167,1
Brazil,6163.2579778276,13378.9063661828,0.460669789378761
Canada,1853.9591053734,11073.5181962171,0.16742277138324
Cape Verde,1653.5209540556,3006.447210679,0.549991680606344
Chile,4058.7346313684,15282.8812150679,0.265573917264158
Colombia,150.319417967099,250.542171834599,0.599976510406942
Costa Rica,50.1113769336999,1252.7108591731,0.0400023489592625
Cuba,50.1040205167001,50.1040205167001,1
Democratic Republic of the Congo,50.1113769337001,50.1113769337001,1
Denmark,0,5060.7488339489,0
Dominican Republic,0,450.972966735499,0
Ecuador,2655.792631233,4309.3356545393,0.616288180855785
El Salvador,250.527459000499,250.527459000499,1
Equatorial Guinea,1002.1686873382,1202.5994822391,0.833335372365435
Federal Republic of Somalia,1553.3644079414,2054.4487516107,0.756097910314654
Fiji,1102.3473027037,2455.27355932699,0.448971275936298
France,7415.8805599959,26206.2786165782,0.282981062229285
Gabon,250.5421718347,450.9729667355,0.555559180516568
Ghana,50.1113769338,851.8051308691,0.0588296256007183
Guatemala,0,450.965610318401,0
Guinea,200.4307949008,250.5421718346,0.799988255203272
Guinea-Bissau,400.8615898017,400.8615898017,1
Guyana,150.326774384099,250.542171834599,0.600005872397963
Iceland,0,1503.1941796714,0
India,450.9803231525,5562.1127214656,0.0810807593690168
Indonesia,450.950897484299,4509.6855288526,0.0999960850039658
Ireland,651.3964052192,1403.0376335572,0.464275789643417
Ivory Coast,50.1040205167,450.9508974843,0.111107485972892
Japan,3206.8853619967,11775.3202350509,0.272339545590527
Kenya,250.5421718346,250.5421718346,1
Kiribati,952.0646668217,9470.4837963643,0.100529675916577
Liberia,651.3964052192,952.0352411536,0.68421459318028
Madagascar,1152.4513232204,2254.8427644263,0.511100526121881
Maldives,0,2505.5247081848,0
Marshall Islands,250.534815417601,3908.4446390695,0.064100899092496
Mauritania,50.1113769336999,50.1113769336999,1
Mexico,350.757569285001,7015.03368302809,0.0500008389316234
Micronesia,0,5862.4720135519,0
Morocco,50.1113769338001,50.1113769338001,1
Mozambique,50.1113769337996,501.0769872522,0.100007340605682
Myanmar,0,350.772282119199,0
Namibia,1703.7353208278,2004.3962260132,0.849999265971767
Nauru,0,1503.2530310075,0
New Zealand,11173.8512963389,22047.0490439104,0.506818453303401
Nicaragua,50.1113769338001,50.1113769338001,1
Nigeria,50.1113769338,150.3267743842,0.33334964539136
Norway,651.396405219201,7465.9477984274,0.0872489900554098
Oman,1202.6215514906,1302.836948941,0.923079094792438
Pakistan,300.6314795172,300.6314795172,1
Palau,0,1052.2653514382,0
Papua New Guinea,0,2355.0066669573,0
Peru,450.980323152799,3206.9442133335,0.140626182793502
Philippines,250.549528251601,2405.2210337297,0.104169024275944
Portugal,6213.361998344,7165.4193087487,0.867131668171565
Republic of Mauritius,952.064666821801,3858.3111928845,0.246756837182444
Russia,1904.0704823065,13678.9714015868,0.139196904972374
Sao Tome and Principe,0,150.3267743842,0
Senegal,350.7722821192,350.7722821192,1
Seychelles,1102.3399462866,3557.6650005333,0.309849282077249
Sierra Leone,50.1113769337001,701.5151385701,0.0714330656296915
Solomon Islands,150.319417967102,2355.0581618766,0.0638283250921166
South Africa,3206.8706491628,7466.0213625979,0.429528726669344
Spain,1503.2456745905,2104.5601285443,0.71428022141153
Sri Lanka,0,2355.0802311279,0
Suriname,400.8395205506,450.9508974843,0.888876200905123
Tanzania,50.1113769337001,300.6682616025,0.166666666666501
Togo,50.1040205167,50.1040205167,1
Tonga,751.597089835601,1202.5847694052,0.624984707071702
Tuvalu,0,1803.928649027,0
United Kingdom,6965.098860104,17287.1376691578,0.402906426350183
United States,11574.8305888151,39434.3653284342,0.293521411905901
Uruguay,300.6461923513,350.757569285001,0.857133868740596
Vanuatu,0,450.987679569602,0
Yemen,801.7305360206,1002.1760437555,0.799989723378578
