eez_mrgid,abnj_length_km,sol_length_km,pct_length,PolygonID,GeoName,Pol_type,MRGID_Ter1,Territory1,MRGID_Sov1,Sovereign1,ISO_Ter1,MRGID_Ter2,Territory2,MRGID_Sov2,Sovereign2,ISO_Ter2,MRGID_Ter3,Territory3,MRGID_Sov3,Sovereign3,ISO_Ter3,x_1,y_1,Area_km2,MRGID_EEZ,rmapshaper,rmapshap_1
8333,1904.1587593117,250.5421718345,0.131576304028906,241,Indian Exclusive Economic Zone (Andaman and Nicobar Islands),200NM,8605,Andaman and Nicobar,2128,India,IND,0,NA,0,NA,NA,0,NA,0,NA,NA,92.1896666,9.9773823,664340.490167,8333,225,NA
8337,3557.6650005333,1102.3399462866,0.309849282077249,214,Seychellois Exclusive Economic Zone,200NM,2192,Seychelles,2192,Seychelles,SYC,0,NA,0,NA,NA,0,NA,0,NA,NA,52.4687739,-6.5478212,1341497.0288,8337,201,NA
8338,901.9238642199,350.735500034001,0.388874841822,34,R�union Exclusive Economic Zone,200NM,8609,R�union,17,France,REU,0,NA,0,NA,NA,0,NA,0,NA,NA,54.7132777,-21.7819697,315408.212326,8338,31,NA
8341,200.423438483899,100.2153974505,0.500018352187637,250,Ile Europa Exclusive Economic Zone,200NM,8612,Europa Island,17,France,ATF,0,NA,0,NA,NA,0,NA,0,NA,NA,40.1092775,-23.5368182,127945.997412,8341,234,NA
8343,3858.3111928845,952.064666821801,0.246756837182444,33,Mauritian Exclusive Economic Zone,200NM,8614,Republic of Mauritius,8614,Republic of Mauritius,MUS,0,NA,0,NA,NA,0,NA,0,NA,NA,60.1172031,-16.8102129,1278112.77102,8343,30,NA
8345,2505.5247081848,0,0,216,Maldives Exclusive Economic Zone,200NM,2229,Maldives,2229,Maldives,MDV,0,NA,0,NA,NA,0,NA,0,NA,NA,73.0880146,2.4548362,925222.836017,8345,203,NA
8346,2355.0802311279,0,0,144,Sri Lankan Exclusive Economic Zone,200NM,2195,Sri Lanka,2195,Sri Lanka,LKA,0,NA,0,NA,NA,0,NA,0,NA,NA,81.6360737,6.5463775,533545.991412,8346,137,NA
8347,501.0769872522,50.1113769337996,0.100007340605682,40,Mozambican Exclusive Economic Zone,200NM,2220,Mozambique,2220,Mozambique,MOZ,0,NA,0,NA,NA,0,NA,0,NA,NA,37.9562061,-20.3732121,566107.319809,8347,37,NA
8348,2254.8427644263,1152.4513232204,0.511100526121881,29,Madagascan Exclusive Economic Zone,200NM,7963,Madagascar,7963,Madagascar,MDG,0,NA,0,NA,NA,0,NA,0,NA,NA,47.2538895,-20.9128765,1196333.81237,8348,26,NA
8349,250.5421718346,250.5421718346,1,41,Kenyan Exclusive Economic Zone,200NM,2118,Kenya,2118,Kenya,KEN,0,NA,0,NA,NA,0,NA,0,NA,NA,42.2930873,-3.2073303,113818.646103,8349,38,NA
8350,2054.4487516107,1553.3644079414,0.756097910314654,218,Somali Exclusive Economic Zone,200NM,2187,Federal Republic of Somalia,2187,Federal Republic of Somalia,SOM,0,NA,0,NA,NA,0,NA,0,NA,NA,48.7178066,5.3811971,781835.626833,8350,205,NA
8353,1002.1760437555,801.7305360206,0.799989723378578,160,Yemeni Exclusive Economic Zone,200NM,2199,Yemen,2199,Yemen,YEM,0,NA,0,NA,NA,0,NA,0,NA,NA,52.0616096,12.8890558,527382.733788,8353,153,NA
8354,1302.836948941,1202.6215514906,0.923079094792438,142,Omani Exclusive Economic Zone,200NM,2251,Oman,2251,Oman,OMN,0,NA,0,NA,NA,0,NA,0,NA,NA,58.669980700000004,18.9491464,556485.906171,8354,135,NA
8359,300.6314795172,300.6314795172,1,242,Pakistani Exclusive Economic Zone,200NM,2250,Pakistan,2250,Pakistan,PAK,0,NA,0,NA,NA,0,NA,0,NA,NA,64.7122448,23.5394046,224387.832462,8359,226,NA
8361,4609.878857052,4309.2400211177,0.934783788195563,51,Portuguese Exclusive Economic Zone (Azores),200NM,2454,Azores,2243,Portugal,PRT,0,NA,0,NA,NA,0,NA,0,NA,NA,-27.976015,38.4753756,960420.584331,8361,48,NA
8362,3006.447210679,1653.5209540556,0.549991680606344,58,Cape Verdean Exclusive Economic Zone,200NM,2168,Cape Verde,2168,Cape Verde,CPV,0,NA,0,NA,NA,0,NA,0,NA,NA,-24.1716379,16.0919045,801936.702842,8362,55,NA
8363,1603.4537156238,1052.2506386039,0.656240107432435,77,Portuguese Exclusive Economic Zone (Madeira),200NM,4956,Madeira,2243,Portugal,PRT,0,NA,0,NA,NA,0,NA,0,NA,NA,-16.8109068,33.1730175,452810.174016,8363,73,NA
8364,1102.3987976229,501.0843436691,0.454539994736557,59,Spanish Exclusive Economic Zone (Canary Islands),200NM,3743,Canary Islands,2185,Spain,ESP,0,NA,0,NA,NA,0,NA,0,NA,NA,-17.6139556,28.3671477,445893.382119,8364,56,NA
8367,50.1113769338001,50.1113769338001,1,80,Moroccan Exclusive Economic Zone,200NM,2221,Morocco,2221,Morocco,MAR,0,NA,0,NA,NA,0,NA,0,NA,NA,-9.8513913,32.7816028,280453.136651,8367,269,NA
8369,50.1113769336999,50.1113769336999,1,78,Mauritanian Exclusive Economic Zone,200NM,2236,Mauritania,2236,Mauritania,MRT,0,NA,0,NA,NA,0,NA,0,NA,NA,-17.9181449,18.2466224,173189.736645,8369,74,NA
8371,350.7722821192,350.7722821192,1,116,Senegalese Exclusive Economic Zone,200NM,2225,Senegal,2225,Senegal,SEN,0,NA,0,NA,NA,0,NA,0,NA,NA,-18.5035747,13.6946293,158604.115529,8371,111,NA
8379,2906.275951731,1703.6911823257,0.586211086153388,2,Ascension Exclusive Economic Zone,200NM,8620,Ascension,2208,United Kingdom,ASC,0,NA,0,NA,NA,0,NA,0,NA,NA,-14.3633727,-7.9474685,446005.325434,8379,1,NA
8380,2956.3652594134,2405.2063208958,0.813568727083824,7,St. Helena Exclusive Economic Zone,200NM,8619,Saint Helena,2208,United Kingdom,SHN,0,NA,0,NA,NA,0,NA,0,NA,NA,-5.7086913,-15.9727781,449214.734358,8380,6,NA
8381,3006.4766363472,0,0,267,Brazilian Exclusive Economic Zone (Trindade),200NM,8622,Trindade,2143,Brazil,BRA,0,NA,0,NA,NA,0,NA,0,NA,NA,-29.0964358,-20.5027699,472480.840469,8381,256,NA
8382,3156.8181235657,2154.6862183126,0.682550002557269,10,Tristan Da Cunha Exclusive Economic Zone,200NM,8621,Tristan da Cunha,2208,United Kingdom,TAA,0,NA,0,NA,NA,0,NA,0,NA,NA,-11.3358981,-39.0680541,817104.430557,8382,9,NA
8384,3206.8780055798,701.507782153,0.21875100360301,45,South African Exclusive Economic Zone (Prince Edward Islands),200NM,22598,Prince Edward Islands,2176,South Africa,ZAF,0,NA,0,NA,NA,0,NA,0,NA,NA,37.8085361,-46.8329157,474896.777438,8384,42,NA
8385,3407.3014440637,701.507782153,0.205883686450809,24,Crozet Islands Exclusive Economic Zone,200NM,8627,Crozet Islands,17,France,ATF,0,NA,0,NA,NA,0,NA,0,NA,NA,51.2121814,-46.3069575,575374.872768,8385,21,NA
8386,3407.323513315,2555.4595311095,0.749990284492617,18,Amsterdam Island & St. Paul Island Exclusive Economic Zone,200NM,48979,Amsterdam and Saint Paul Islands,17,France,ATF,0,NA,0,NA,NA,0,NA,0,NA,NA,77.5418063,-38.2943091,512187.835173,8386,16,NA
8387,2655.7117106449,801.730536020501,0.301889144370197,28,Kerguelen Exclusive Economic Zone,200NM,8630,Kergu�len,17,France,ATF,0,NA,0,NA,NA,0,NA,0,NA,NA,68.9745992,-48.8779454,550720.881404,8387,25,NA
8388,2154.6126541417,1002.1319052532,0.465110006351654,27,Heard and McDonald Islands Exclusive Economic Zone,200NM,8631,Heard and McDonald Islands,2147,Australia,HMD,0,NA,0,NA,NA,0,NA,0,NA,NA,73.7305146,-53.4986253,417353.385682,8388,24,NA
8390,701.5151385701,50.1113769337001,0.0714330656296915,73,Sierra Leonian Exclusive Economic Zone,200NM,2191,Sierra Leone,2191,Sierra Leone,SLE,0,NA,0,NA,NA,0,NA,0,NA,NA,-14.14468,6.6354075,160578.277588,8390,70,NA
