feature,absolute_held,relative_held
_area_km2,160351057.81567943,0.7556646749097794
bio_vgpm,20285796.00868225,0.8000000001209523
nspp_bivalves,22955.544933617115,0.8167256837341007
nspp_bony.fishes,16783813.8374604,0.8000035315893659
nspp_cephalopods,57080.817872047424,0.8452394363081801
nspp_cetaceans,819810.3840272427,0.8190531791818368
nspp_chitons,2838.7138612270355,0.8350765054608288
nspp_corals,50620.820896208286,0.84061307136497
nspp_crustaceans,1207536.453983903,0.8146808222709916
nspp_echinoderms,66981.26642292738,0.8250630844773457
nspp_euphausiids,12559.170404314995,0.8000147523876608
nspp_forams,1203.3153703212738,0.9788500163361619
nspp_gastropods,57168.381292164326,0.8059286554392585
nspp_hydrozoans,27446.63085460663,0.8179693449657537
nspp_jellyfish,17314.398950338364,0.8395436474345442
nspp_other,220240.4755026698,0.8085935694004156
nspp_pinnipeds,29784.35855960846,0.8000015580519334
nspp_reptiles,20127.27995967865,0.8000705062701754
nspp_sea.spiders,174581.07331323624,0.8493883569919475
nspp_seagrasses,44.03333926200867,0.9017326528348291
nspp_sharks.n.rays,607132.8797340393,0.8218513029857817
nspp_sponges,6817.41699808836,0.8965810918886391
nspp_tunas.n.billfishes,507208.0350494385,0.8000044253314222
nspp_tunicates,442010.68451446295,0.8578786700603175
nspp_worms,171182.5430045724,0.8577641145007738
X2100_nspp_bivalves,41517.698629140854,0.800056541089134
X2100_nspp_bony.fishes,13162173.127344012,0.8134010192969642
X2100_nspp_cephalopods,59462.300770521164,0.846997699330074
X2100_nspp_cetaceans,821410.3805903196,0.8110873578202744
X2100_nspp_chitons,3327.9119594097137,0.8473076794035991
X2100_nspp_corals,158859.66839915514,0.8000973963082757
X2100_nspp_crustaceans,1321659.9298958778,0.8111465409051503
X2100_nspp_echinoderms,84797.22671765089,0.8185901034115318
X2100_nspp_euphausiids,4274.249025762081,0.9322738735455904
X2100_nspp_forams,1303.0587784051895,0.9759001372967399
X2100_nspp_gastropods,70955.6221306324,0.8091512694052158
X2100_nspp_hydrozoans,67035.51921117306,0.8150252002630948
X2100_nspp_jellyfish,18039.950758874416,0.8391470627133717
X2100_nspp_other,242144.15151000023,0.8078072303500924
X2100_nspp_pinnipeds,42540.0520939827,0.8098489305904193
X2100_nspp_reptiles,5634.875756382942,0.8000776857970255
X2100_nspp_sea.spiders,192097.2735171914,0.8433909395392691
X2100_nspp_seagrasses,69.63407671451569,0.9180020877310232
X2100_nspp_sharks.n.rays,704059.5921673775,0.8071570846352392
X2100_nspp_sponges,10561.937132060528,0.8679406097381879
X2100_nspp_tunas.n.billfishes,492628.1370139122,0.8068509667570558
X2100_nspp_tunicates,459084.0087963939,0.8552591007665011
X2100_nspp_worms,177997.24039971828,0.8527543394060703
rls_all_now,1845087.972391121,0.8181801608635276
rls_all_future,2207129.0525116846,0.8066076098793195
phys_seamounts_gt200to800m,247,0.9320754716981132
phys_seamounts_gt800m,13525,0.8152010125971912
phys_seamounts_0to200m,101,0.8782608695652174
phys_vents,702,1
scapes_hetero,317423.3167588711,0.8000009654452632
