feature,absolute_held,relative_held
_area_km2,94385296.56943586,0.42567261527312256
bio_vgpm,12982929.2188797,0.5000003749306084
nspp_bivalves,31462.591532170773,0.7055116219320363
nspp_bony.fishes,10529201.165044904,0.5000073675576462
nspp_cephalopods,44343.16767990589,0.6406609454119262
nspp_cetaceans,513176.9617819786,0.5073022918460676
nspp_chitons,2686.98466026783,0.678359293136375
nspp_corals,39064.1878028512,0.6401256501946553
nspp_crustaceans,828692.8002153635,0.5385507262344236
nspp_echinoderms,59088.01800227165,0.6177572940390288
nspp_euphausiids,9498.058506071568,0.500023263730439
nspp_forams,1552.5233054161072,0.8602565654592231
nspp_gastropods,52699.66292864084,0.6602906306564992
nspp_hydrozoans,41910.81159156561,0.726825306293186
nspp_jellyfish,12388.30350971222,0.5776790221659385
nspp_other,166350.75677621365,0.5600555486536389
nspp_pinnipeds,23752.008801579475,0.5000169222503051
nspp_reptiles,15650.225544333458,0.6221051180080676
nspp_sea.spiders,167941.5036085844,0.6402672123634646
nspp_seagrasses,33.351778626441956,0.6829913043530906
nspp_sharks.n.rays,402495.88881993294,0.5441981999804072
nspp_sponges,13769.923881351948,0.7651366707193337
nspp_tunas.n.billfishes,317009.4597706795,0.50000976554669
nspp_tunicates,353972.2950255275,0.6099933606609309
nspp_worms,132721.75942015648,0.6408985837644945
X2100_nspp_bivalves,45831.31475549936,0.6374047198171244
X2100_nspp_bony.fishes,8743317.322259426,0.53748770823138
X2100_nspp_cephalopods,46631.139424324036,0.6460467261382047
X2100_nspp_cetaceans,526650.3699946404,0.5136769011489207
X2100_nspp_chitons,3308.2725958824158,0.7087344495931333
X2100_nspp_corals,99748.96726411581,0.5000010613319027
X2100_nspp_crustaceans,908786.5418902636,0.5353750705680086
X2100_nspp_echinoderms,72882.7282319665,0.5976118203985176
X2100_nspp_euphausiids,6819.416679739952,0.864220552693673
X2100_nspp_forams,1741.0005221366882,0.8639701041247827
X2100_nspp_gastropods,63677.75984233618,0.6436956963284803
X2100_nspp_hydrozoans,70036.79922050238,0.6260283317723622
X2100_nspp_jellyfish,13163.746091663837,0.5830078709926524
X2100_nspp_other,184194.49131596088,0.5607400222898977
X2100_nspp_pinnipeds,33037.7109708786,0.5117221260472226
X2100_nspp_reptiles,3521.834145307541,0.5000537783901958
X2100_nspp_sea.spiders,183510.28918111324,0.6356127298779853
X2100_nspp_seagrasses,57.51812493801117,0.7582747020821948
X2100_nspp_sharks.n.rays,455881.6812925339,0.5219703629675825
X2100_nspp_sponges,18646.4102678895,0.7305935873568573
X2100_nspp_tunas.n.billfishes,305632.7644405365,0.5005806062078711
X2100_nspp_tunicates,374027.10283106565,0.6087597853861505
X2100_nspp_worms,135940.7385072708,0.6273312001942905
rls_all_now,1163613.1565674096,0.5138703640190132
rls_all_future,1373800.4665760016,0.5000061637554972
phys_seamounts_gt200to800m,224,0.8175182481751825
phys_seamounts_gt800m,8413,0.5001783590963139
phys_seamounts_0to200m,89,0.7606837606837606
phys_vents,160,0.5614035087719298
scapes_hetero,205825.38268858194,0.5000126693568748
