feature,absolute_held,relative_held
_area_km2,191459640.08039826,0.863472687743455
bio_vgpm,23369321.746181488,0.9000025678313787
nspp_bivalves,40322.72011107206,0.9041895877262849
nspp_bony.fishes,18952421.51997745,0.9000065859228357
nspp_cephalopods,63636.64771139622,0.9194091676067494
nspp_cetaceans,927069.8841853142,0.9164571131867871
nspp_chitons,3565.000031709671,0.9000240817529169
nspp_corals,55976.53888171911,0.9172600369459507
nspp_crustaceans,1396319.3921254873,0.907439792512932
nspp_echinoderms,87139.31341969967,0.9110298209783065
nspp_euphausiids,17096.70166450739,0.9000522117070437
nspp_forams,1786.721251487732,0.9900261605579468
nspp_gastropods,71842.28562790155,0.9001345634655066
nspp_hydrozoans,52036.39710134268,0.9024251458110312
nspp_jellyfish,20222.117055416107,0.9429776076715847
nspp_other,267498.8691551089,0.9005923918364424
nspp_pinnipeds,42755.081374406815,0.9000613117813687
nspp_reptiles,22641.239295244217,0.9000017797645542
nspp_sea.spiders,241228.55644083023,0.9196698377478277
nspp_seagrasses,48.83192276954651,1
nspp_sharks.n.rays,674623.263778925,0.9121304739031584
nspp_sponges,16683.772469639778,0.9270469635454323
nspp_tunas.n.billfishes,570676.940531373,0.9001120769216425
nspp_tunicates,543757.7936986089,0.9370469062836321
nspp_worms,193108.62456411123,0.9325000251394531
X2100_nspp_bivalves,64717.69501578808,0.9000694062305664
X2100_nspp_bony.fishes,14758402.067571878,0.9072597290117091
X2100_nspp_cephalopods,66437.54743754864,0.9204527391902168
X2100_nspp_cetaceans,931207.8411990404,0.9082685315450693
X2100_nspp_chitons,4250.122536897659,0.9105078767211101
X2100_nspp_corals,179564.16153043509,0.9000822144320032
X2100_nspp_crustaceans,1538921.6611533165,0.9065938534090663
X2100_nspp_echinoderms,111027.43285244703,0.9103845022094446
X2100_nspp_euphausiids,7638.345655202866,0.9680029266163661
X2100_nspp_forams,1994.1166270971298,0.9895787669469774
X2100_nspp_gastropods,89340.62003391981,0.9031123702457552
X2100_nspp_hydrozoans,102018.81650930643,0.9119016034361501
X2100_nspp_jellyfish,21271.216889083385,0.9420788570041454
X2100_nspp_other,295873.34746718407,0.9007219828802727
X2100_nspp_pinnipeds,58429.247128009796,0.9050124141481526
X2100_nspp_reptiles,6339.04218018055,0.9000599865832986
X2100_nspp_sea.spiders,265141.22258383036,0.9183525187700464
X2100_nspp_seagrasses,75.85394155979156,1
X2100_nspp_sharks.n.rays,789005.939991951,0.9033872905652155
X2100_nspp_sponges,23749.16165316105,0.9305268391943796
X2100_nspp_tunas.n.billfishes,551892.9826929569,0.9039178909500086
X2100_nspp_tunicates,575029.415086329,0.9359075336227284
X2100_nspp_worms,201480.16567099094,0.929778633937368
rls_all_now,2070468.090645614,0.9143521499605671
rls_all_future,2487707.6485366775,0.905421994061624
phys_seamounts_gt200to800m,266,0.9708029197080292
phys_seamounts_gt800m,15580,0.9262782401902497
phys_seamounts_0to200m,106,0.905982905982906
phys_vents,257,0.9017543859649123
scapes_hetero,370477.5887333751,0.9000031272126945
