feature,absolute_held,relative_held
_area_km2,60509833.13799224,0.27289609566083883
bio_vgpm,8828388.2811203,0.3400001167821234
nspp_bivalves,25820.522850215435,0.5789948655870253
nspp_bony.fishes,7159855.699965954,0.3400049580700852
nspp_cephalopods,34453.34849739075,0.4977748766231526
nspp_cetaceans,346387.9962797165,0.34242266794377796
nspp_chitons,2133.96862077713,0.5387442163593473
nspp_corals,31017.526331841946,0.5082689626315741
nspp_crustaceans,590584.2528496981,0.38380878679308056
nspp_echinoderms,44786.257124364376,0.4682343044611828
nspp_euphausiids,6458.538286447525,0.3400083702214621
nspp_forams,1248.07812833786,0.6915628257322287
nspp_gastropods,44208.85255473852,0.5539066003798695
nspp_hydrozoans,34520.697143793106,0.5986645288453709
nspp_jellyfish,9336.127788543701,0.43535300596033405
nspp_other,120258.046428442,0.4048745402649492
nspp_pinnipeds,16151.393289923668,0.340012081939984
nspp_reptiles,12441.091142892838,0.4945402513001358
nspp_sea.spiders,125003.17189848423,0.4765673206938134
nspp_seagrasses,31.351778626441956,0.6420344899053237
nspp_sharks.n.rays,283525.5069913864,0.3833432212329312
nspp_sponges,11436.366632282734,0.635470723407613
nspp_tunas.n.billfishes,215568.39715981483,0.3400097391450904
nspp_tunicates,256862.42900389433,0.4426458751081512
nspp_worms,100133.8158056736,0.4835350361324746
X2100_nspp_bivalves,35773.38308292627,0.4975227820220283
X2100_nspp_bony.fishes,6181856.882424831,0.38002419057693193
X2100_nspp_cephalopods,36407.26621747017,0.5044010384007386
X2100_nspp_cetaceans,362008.555064559,0.35309086131820916
X2100_nspp_chitons,2663.637730240822,0.5706336965724541
X2100_nspp_corals,69424.82504880428,0.34799845210699687
X2100_nspp_crustaceans,644871.2536870241,0.37989998424917215
X2100_nspp_echinoderms,54756.23420757055,0.44898117286176814
X2100_nspp_euphausiids,6073.83397513628,0.7697333073306282
X2100_nspp_forams,1395.7995209693909,0.692664385872348
X2100_nspp_gastropods,52357.18219316006,0.5292600263116736
X2100_nspp_hydrozoans,53314.84018909931,0.4765580499647014
X2100_nspp_jellyfish,9924.041171967983,0.4395248947392286
X2100_nspp_other,133841.75589847565,0.4074520831195292
X2100_nspp_pinnipeds,22281.47391963005,0.3451184380076805
X2100_nspp_reptiles,2479.0146938562393,0.35198723540099486
X2100_nspp_sea.spiders,136775.36278116703,0.4737399853998856
X2100_nspp_seagrasses,52.632227540016174,0.6938627902220352
X2100_nspp_sharks.n.rays,319325.6812108755,0.3656179850305404
X2100_nspp_sponges,15255.393671691418,0.5977286045419421
X2100_nspp_tunas.n.billfishes,207594.2499243021,0.34000823067054886
X2100_nspp_tunicates,272641.55212658644,0.4437464865611403
X2100_nspp_worms,102110.55351805687,0.4712136832150565
rls_all_now,794280.4971928652,0.35076709636881404
rls_all_future,934192.8680782889,0.34000730349128133
phys_seamounts_gt200to800m,198,0.7226277372262774
phys_seamounts_gt800m,5719,0.34001189060642095
phys_seamounts_0to200m,82,0.7008547008547008
phys_vents,121,0.4245614035087719
scapes_hetero,139959.13065969944,0.34000344179078806
