feature,absolute_held,relative_held
_area_km2,62536033.77460468,0.28203415164417067
bio_vgpm,9088540.58454132,0.35001913845717153
nspp_bivalves,26342.153870642185,0.5906918278952649
nspp_bony.fishes,7370603.314002991,0.3500128739662636
nspp_cephalopods,35207.960131168365,0.5086773499467686
nspp_cetaceans,356733.94083690643,0.35265017575502033
nspp_chitons,2173.996207356453,0.5488496277297263
nspp_corals,31619.945552885532,0.5181405103905201
nspp_crustaceans,606277.6940304041,0.3940076374923867
nspp_echinoderms,45910.650363981724,0.4799896848009851
nspp_euphausiids,6649.135695695877,0.35004233016917197
nspp_forams,1273.660345673561,0.7057379884143394
nspp_gastropods,44851.68728548288,0.5619608786462379
nspp_hydrozoans,35226.340834379196,0.6109019366183882
nspp_jellyfish,9571.389081001282,0.44632347607142253
nspp_other,123419.39255583286,0.41551789094258856
nspp_pinnipeds,16626.314230561256,0.3500099102935183
nspp_reptiles,12675.3881534338,0.5038536870061342
nspp_sea.spiders,128304.43017876148,0.48915317583377466
nspp_seagrasses,31.351778626441956,0.6420344899053237
nspp_sharks.n.rays,291671.6098905802,0.39435723319611843
nspp_sponges,11663.678121387959,0.6481014654138026
nspp_tunas.n.billfishes,221909.7340732813,0.35001174471820046
nspp_tunicates,263484.4427514672,0.4540574586614165
nspp_worms,102435.92998707294,0.49465168893280603
X2100_nspp_bivalves,36531.941120803356,0.508072522438106
X2100_nspp_bony.fishes,6354385.5085299015,0.3906302354488752
X2100_nspp_cephalopods,37184.95027303696,0.515175388851346
X2100_nspp_cetaceans,372518.4163624048,0.36334182341862004
X2100_nspp_chitons,2717.667102575302,0.5822084614545864
X2100_nspp_corals,70868.87452280521,0.35523688564089456
X2100_nspp_crustaceans,661676.9974458218,0.3898004128273724
X2100_nspp_echinoderms,56063.55774432421,0.4597007496065162
X2100_nspp_euphausiids,6149.447002708912,0.7793157005980468
X2100_nspp_forams,1421.895539522171,0.7056145140197063
X2100_nspp_gastropods,53166.903129935265,0.5374452056194848
X2100_nspp_hydrozoans,54529.07490956783,0.4874115633304645
X2100_nspp_jellyfish,10168.654370248318,0.4503585448987704
X2100_nspp_other,137231.52371573448,0.41777149315088985
X2100_nspp_pinnipeds,22969.354848504066,0.35577304696957335
X2100_nspp_reptiles,2521.6988710165024,0.3580478229204001
X2100_nspp_sea.spiders,140277.3765128851,0.48586968405613185
X2100_nspp_seagrasses,52.632227540016174,0.6938627902220352
X2100_nspp_sharks.n.rays,328594.97404527664,0.37623103737233976
X2100_nspp_sponges,15538.927552998066,0.6088378761124471
X2100_nspp_tunas.n.billfishes,213703.01230669022,0.35001346679813894
X2100_nspp_tunicates,279534.005792439,0.45496452018129613
X2100_nspp_worms,104481.16692996025,0.4821534483893239
rls_all_now,817753.915536901,0.3611333370400723
rls_all_future,961711.4859130655,0.3500229344873268
phys_seamounts_gt200to800m,201,0.7335766423357665
phys_seamounts_gt800m,5888,0.3500594530321046
phys_seamounts_0to200m,84,0.717948717948718
phys_vents,122,0.4280701754385965
scapes_hetero,144076.76883542538,0.3500064415607708
