feature,absolute_held,relative_held
_area_km2,136481058.49439758,0.6431757676152162
bio_vgpm,17750160.036994934,0.7000034913919702
nspp_bivalves,21503.704740583897,0.7650712717932527
nspp_bony.fishes,14686136.719357014,0.7000173711809735
nspp_cephalopods,52492.183801174164,0.7772920133370609
nspp_cetaceans,716847.3213165998,0.7161852166693634
nspp_chitons,2669.8514642715454,0.7854015374130182
nspp_corals,46255.542475640774,0.7681229371571435
nspp_crustaceans,1061679.2083883286,0.7162762561943732
nspp_echinoderms,60293.25726240873,0.7426814013340503
nspp_euphausiids,10989.123049259186,0.7000032862194554
nspp_forams,1167.7313420772552,0.9499038003340641
nspp_gastropods,52287.30837458372,0.7371179519585586
nspp_hydrozoans,25809.11230790615,0.7691677277432504
nspp_jellyfish,15332.495702266693,0.7434447712032128
nspp_other,197412.86221379042,0.7247839914015541
nspp_pinnipeds,26061.263959884644,0.7000000262212963
nspp_reptiles,18492.021584272385,0.7350680817540549
nspp_sea.spiders,159386.47853064537,0.7754621767216102
nspp_seagrasses,36.351778626441956,0.744426526024741
nspp_sharks.n.rays,537731.4902399778,0.7279054399158981
nspp_sponges,6469.372943818569,0.850808665427113
nspp_tunas.n.billfishes,443812.5442273617,0.7000125685407947
nspp_tunicates,399057.0449796319,0.7745118817690597
nspp_worms,157645.01588487625,0.7899300657797765
X2100_nspp_bivalves,37886.86220121384,0.7300894058744473
X2100_nspp_bony.fishes,11631316.163803458,0.7187965339665838
X2100_nspp_cephalopods,54732.31558120251,0.7796224628978441
X2100_nspp_cetaceans,723370.0854097605,0.7142791778204408
X2100_nspp_chitons,3151.7900943756104,0.8024659256028918
X2100_nspp_corals,138987.19995242357,0.7000096243604095
X2100_nspp_crustaceans,1160381.5458215475,0.7121646466935496
X2100_nspp_echinoderms,75669.962305367,0.7304800483033186
X2100_nspp_euphausiids,4127.470692694187,0.9002594531650716
X2100_nspp_forams,1262.2230764627457,0.9453170448125974
X2100_nspp_gastropods,64234.70540070534,0.732508458866888
X2100_nspp_hydrozoans,60013.48380482197,0.7296505230671592
X2100_nspp_jellyfish,16014.025597631931,0.7449090478176028
X2100_nspp_other,216897.57493913174,0.72358315568896
X2100_nspp_pinnipeds,37564.26340830326,0.7151232086510381
X2100_nspp_reptiles,4930.37166929245,0.7000474412977711
X2100_nspp_sea.spiders,175160.66242933273,0.769031818889272
X2100_nspp_seagrasses,62.38920080661774,0.8224912183032664
X2100_nspp_sharks.n.rays,617157.074010849,0.7075291781582417
X2100_nspp_sponges,9784.999395906925,0.8040947636576584
X2100_nspp_tunas.n.billfishes,429237.8308926821,0.7030271574087567
X2100_nspp_tunicates,413794.6654831767,0.7708864755079589
X2100_nspp_worms,163094.02028918266,0.7813555604595896
rls_all_now,1617163.1162277982,0.717109860546718
rls_all_future,1923800.9047580883,0.7030637596404793
phys_seamounts_gt200to800m,235,0.8867924528301887
phys_seamounts_gt800m,11772,0.7095413175818215
phys_seamounts_0to200m,95,0.8260869565217391
phys_vents,702,1
scapes_hetero,277748.72174334526,0.7000092110897337
