feature,absolute_held,relative_held
_area_km2,56497604.36809549,0.2548011595253193
bio_vgpm,8309103.737049103,0.3200013582312643
nspp_bivalves,24704.18016386032,0.5539621934221453
nspp_bony.fishes,6738707.260675907,0.3200055944735849
nspp_cephalopods,32922.58564186096,0.47565873044919366
nspp_cetaceans,325251.71157455444,0.3215283440154269
nspp_chitons,2031.3050634860992,0.5128256544916113
nspp_corals,29737.088565170765,0.48728705812966194
nspp_crustaceans,559050.290086031,0.36331550080941005
nspp_echinoderms,42392.238509595394,0.4432051613059344
nspp_euphausiids,6078.499575614929,0.3200013133673746
nspp_forams,1171.0460829734802,0.6488792006012685
nspp_gastropods,42700.567319214344,0.5350088208869973
nspp_hydrozoans,33020.61128091812,0.5726497530549253
nspp_jellyfish,8929.404679656029,0.41638709931699747
nspp_other,113797.85967040062,0.38312493413573206
nspp_pinnipeds,15200.884180903435,0.3200023790456515
nspp_reptiles,11920.88855946064,0.47386191100162406
nspp_sea.spiders,118161.34635555744,0.4504832588406065
nspp_seagrasses,31.351778626441956,0.6420344899053237
nspp_sharks.n.rays,267617.857283473,0.3618351398402335
nspp_sponges,10934.433278143406,0.6075804010777087
nspp_tunas.n.billfishes,202887.31876814365,0.32000824443232867
nspp_tunicates,242545.3461434245,0.41797353319989766
nspp_worms,95218.1342716217,0.45979775788077687
X2100_nspp_bivalves,34188.70375704765,0.47548365687145755
X2100_nspp_bony.fishes,5840580.518450737,0.35904452759718636
X2100_nspp_cephalopods,34802.18669450283,0.48216361542960656
X2100_nspp_cetaceans,340616.10134255886,0.33222538782390487
X2100_nspp_chitons,2544.894678711891,0.545195257378202
X2100_nspp_corals,65820.08808875084,0.3299293697366829
X2100_nspp_crustaceans,610601.5231683254,0.35971134968089047
X2100_nspp_echinoderms,51947.368479311466,0.42594949715696545
X2100_nspp_euphausiids,5883.73829716444,0.7456425969961826
X2100_nspp_forams,1314.3615404367447,0.6522508537533851
X2100_nspp_gastropods,50500.23532819748,0.5104888146948293
X2100_nspp_hydrozoans,50769.24383723736,0.45380407697823405
X2100_nspp_jellyfish,9487.742873132229,0.42020172179509
X2100_nspp_other,126827.90783333778,0.3860999498809899
X2100_nspp_pinnipeds,20903.180512309074,0.32377000883433804
X2100_nspp_reptiles,2375.3062965869904,0.337262017299973
X2100_nspp_sea.spiders,129440.0050343275,0.4483329807959162
X2100_nspp_seagrasses,52.632227540016174,0.6938627902220352
X2100_nspp_sharks.n.rays,301099.960529685,0.3447501010385047
X2100_nspp_sponges,14618.326767623425,0.5727673928050707
X2100_nspp_tunas.n.billfishes,195382.96642017365,0.3200079806637729
X2100_nspp_tunicates,257817.3977791667,0.41961895956975437
X2100_nspp_worms,97134.19007146358,0.44824905842461965
rls_all_now,748128.6698441487,0.3303857039911371
rls_all_future,879222.8463311468,0.3200005045681102
phys_seamounts_gt200to800m,192,0.7007299270072993
phys_seamounts_gt800m,5385,0.32015457788347207
phys_seamounts_0to200m,81,0.6923076923076923
phys_vents,114,0.4
scapes_hetero,131725.1095044613,0.32000049150549265
