WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,FID,one,l_hs_km2,rmpshpr,are_km2,l_s_km2,l_s_pct
555635931,555635931,1,Área de Proteção Ambiental do Arquipelago De Sao Pedro e Sao Paulo,Área de Proteção Ambiental do Arquipelago De Sao Pedro e Sao Paulo,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,2,0,387104.016399,0,387104.016399,None,0,Designated,2018,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conservação da Biodiversidade,Not Reported,State Verified,1802,Not Reported,BRA,BRA,0,1,27.83437718722333,0,2033273.7996674187,7.62260517783441,0.273855783679377
555512063,555512063,1,Arrow Plateau,Arrow Plateau,Benthic Protection Area,Benthic Protection Area,National,VI,Not Applicable,2,66826.53328,62003.552134,66826.5332848,62003.5521283,Part,66826.53328,Designated,2007,Federal or national ministry or agency,Not Reported,Ministry for Primary Industries,Not Reported,State Verified,1773,Marine,NZL,NZL,0,1,2.245344892726272,0,1308953.3776768106,2.17774068708381,0.969891393584361
478040,478040,1,Norfolk Deep,Norfolk Deep,Benthic Protection Area,Benthic Protection Area,National,VI,Not Applicable,2,44499.1626,44552.191923,44499.1625895,44552.1919245,Part,44499.1626,Designated,2007,Federal or national ministry or agency,Not Reported,Ministry for Primary Industries,Not Reported,State Verified,1773,Marine,NZL,NZL,0,1,0.003664044904828,0,1005160.3463756428,0.00366404490482807,1.00000000000002
354081,354081_A,1,Flinders,Flinders,Commonwealth Marine Reserve,Commonwealth Marine Reserve,National,II,Not Applicable,2,25814.7314599,25845.346941,25814.7314599,25845.346941,All,25814.7314599,Designated,2012,Federal or national ministry or agency,Not Reported,AU-DOEE,https://www.comlaw.gov.au/Details/F2013L00423/Explanatory%20Statement/Text,State Verified,1804,AU-COM,AUS,AUS,0,1,0.075935523606658,0,1005160.3463756428,0.00337220050430298,0.0444087344649231
354083,354083_A,1,Freycinet,Freycinet,Commonwealth Marine Reserve,Commonwealth Marine Reserve,National,II,Not Applicable,2,56792.6543193,56830.5500072,56792.6543193,56830.5921635,All,56792.6543193,Designated,2012,Federal or national ministry or agency,Not Reported,AU-DOEE,https://www.comlaw.gov.au/Details/F2013L00423/Explanatory%20Statement/Text,State Verified,1804,AU-COM,AUS,AUS,0,1,0.744843115005263,0,1005160.3463756428,0.514327026243467,0.690517259114133
555556895,555556895_C,1,Norfolk,Norfolk,Commonwealth Marine Reserve,Commonwealth Marine Reserve,National,VI,Not Applicable,2,125799.884914,126198.610682,125799.884914,126214.937313,None,0,Designated,2012,Federal or national ministry or agency,Not Reported,AU-DOEE,Not Reported,State Verified,1804,AU-COM,AUS,NFK,0,1,91.64526872259447,0,1005160.3463756428,37.9033789955577,0.413587951935514
555624810,555624810_A,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - General Protection Zone (i),Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,1555851,1521512.67449,1555851,1521512.67449,All,1555851,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,0,1,155469.26415735614,0,947497.7446463197,14684.9775105269,0.0944558243722287
555624810,555624810_B,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - General Protection Zone (ii),Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,74765,74472.7695635,74765,74472.7695635,All,74765,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,0,1,74766.12734372949,0,947497.7446463197,42050.9543172957,0.562433227602799
555624810,555624810_C,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - General Protection Zone (iii),Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,21098,22644.9948323,21098,22644.9948323,All,21098,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,0,1,21095.812244035897,0,947497.7446463197,1362.30118882701,0.0645768540726444
555624810,555624810_D,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - Krill Research Zone,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,328750,331890.979687,328750,331890.979687,All,328750,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,0,1,91310.54210198479,0,947497.7446463197,15527.1479438893,0.170047702997394
220201,220201,1,Papah?naumoku?kea Marine National Monument,Papah?naumoku?kea Marine National Monument,Marine National Monument,Marine National Monument,National,Ia,Not Applicable,2,1508870,1516556.96666,1508870,1516555.34286,All,1508870,Designated,2006,Collaborative governance,Multiple ownership,State Department of Natural Resources,Site-Specific Management Plan,State Verified,1895,US-N/A;US-HI,USA,USA,0,1,2.497299208576867,0,676927.2999512601,0.0198160898329306,0.00793500825406628
555624810,555624810_C,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - General Protection Zone (iii),Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,21098,22644.9948323,21098,22644.9948323,All,21098,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,0,1,21095.812244035897,0,466891.9149859826,1362.30118883028,0.0645768540727992
