WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,FID,one,l_hs_km2,rmpshpr,are_km2,l_s_km2,l_s_pct
555624810,555624810_D,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - Krill Research Zone,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,328750,331890.979687,328750,331890.979687,All,328750,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,0,1,91310.54210198479,0,15126.317882595886,11007.0100742456,0.120544789471865
354083,354083_A,1,Freycinet,Freycinet,Commonwealth Marine Reserve,Commonwealth Marine Reserve,National,II,Not Applicable,2,56792.6543193,56830.5500072,56792.6543193,56830.5921635,All,56792.6543193,Designated,2012,Federal or national ministry or agency,Not Reported,AU-DOEE,https://www.comlaw.gov.au/Details/F2013L00423/Explanatory%20Statement/Text,State Verified,1804,AU-COM,AUS,AUS,0,1,0.744843115005263,0,10038.041345503845,0.00987934070399217,0.0132636531169686
478047,478047,1,Sub-Antarctic Deep,Sub-Antarctic Deep,Benthic Protection Area,Benthic Protection Area,National,VI,Not Applicable,2,98682.59765,97273.2469331,98682.5976471,97273.2469235,Part,98682.59765,Designated,2007,Federal or national ministry or agency,Not Reported,Ministry for Primary Industries,Not Reported,State Verified,1773,Marine,NZL,NZL,0,1,128.91171821539115,0,7549.789367376465,14.198941081543,0.110144688769246
354086,354086_A,1,Macquarie Island,Macquarie Island,Commonwealth Marine Reserve,Commonwealth Marine Reserve,National,Ia,Not Applicable,2,57137.1072398,57003.6388034,57137.1072398,57003.8226389,All,57137.1072398,Designated,2012,Federal or national ministry or agency,Not Reported,AU-DOEE,https://www.comlaw.gov.au/Details/F2013L00423/Explanatory%20Statement/Text,State Verified,1804,AU-COM,AUS,AUS,0,1,195.58557873594444,0,7549.789367376465,9.18477008254811,0.0469603645724221
354086,354086_B,1,Macquarie Island,Macquarie Island,Commonwealth Marine Reserve,Commonwealth Marine Reserve,National,IV,Not Applicable,2,104758.763145,104492.600574,104758.763145,104492.634982,Part,0,Designated,2012,Federal or national ministry or agency,Not Reported,AU-DOEE,https://www.comlaw.gov.au/Details/F2013L00423/Explanatory%20Statement/Text,State Verified,1804,AU-COM,AUS,AUS,0,1,38.53498213142776,0,7549.789367376465,0.537374569092035,0.0139451101147332
555566876,555566876,1,15JA2 b (Bollons),15JA2 b (Bollons),Closed Seamount Area,Closed Seamount Area,National,VI,Not Applicable,2,81084.5131486,80765.2070657,81084.5131453,80765.2070749,Part,81084.5131486,Designated,2001,Federal or national ministry or agency,Not Reported,Ministry for Primary Industries,Not Reported,State Verified,1773,Marine,NZL,NZL,0,1,22794.273607873714,0,7538.076653195373,1779.64641923114,0.078074276454083
555635931,555635931,1,Área de Proteção Ambiental do Arquipelago De Sao Pedro e Sao Paulo,Área de Proteção Ambiental do Arquipelago De Sao Pedro e Sao Paulo,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,2,0,387104.016399,0,387104.016399,None,0,Designated,2018,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conservação da Biodiversidade,Not Reported,State Verified,1802,Not Reported,BRA,BRA,0,1,27.83437718722333,0,7482.075542879345,0.133702121637082,0.0048034888920904
555624810,555624810_D,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - Krill Research Zone,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,328750,331890.979687,328750,331890.979687,All,328750,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,0,1,91310.54210198479,0,5041.012469599121,3920.92862018152,0.042940590756785
555556868,555556868_A,1,Argo-Rowley Terrace,Argo-Rowley Terrace,Commonwealth Marine Reserve,Commonwealth Marine Reserve,National,II,Not Applicable,2,62624.7255107,62985.7906484,62624.7255107,62990.0181283,All,62624.7255107,Designated,2012,Federal or national ministry or agency,Not Reported,AU-DOEE,Not Reported,State Verified,1804,AU-COM,AUS,AUS,0,1,0.008341693286199,0,4991.591303372913,0.00834149209827841,0.999975881644926
555635931,555635931,1,Área de Proteção Ambiental do Arquipelago De Sao Pedro e Sao Paulo,Área de Proteção Ambiental do Arquipelago De Sao Pedro e Sao Paulo,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,2,0,387104.016399,0,387104.016399,None,0,Designated,2018,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conservação da Biodiversidade,Not Reported,State Verified,1802,Not Reported,BRA,BRA,0,1,27.83437718722333,0,4988.005829199074,0.19926571885636,0.00715897889563081
555624810,555624810_A,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - General Protection Zone (i),Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,1555851,1521512.67449,1555851,1521512.67449,All,1555851,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,0,1,155469.26415735614,0,2521.7608103603516,849.907464709167,0.0054667234023115
555557228,555557228,1,Charlie-Gibbs North High Seas MPA,Charlie-Gibbs North High Seas MPA,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Applicable,Not Applicable,2,178651,177299.628064,178651,177299.62807,Not Reported,0,Designated,2012,Collaborative governance,Not Reported,OSPAR Commission,http://mpa.ospar.org/home_ospar/mpa_datasheets,State Verified,883,Not Reported,ABNJ,ABNJ,0,1,178765.68266705,0,2515.4430327165833,2515.44303271658,0.0140711740373659
555512241,555512241,1,Charlie-Gibbs South High Seas MPA,Charlie-Gibbs South High Seas MPA,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Not Applicable,2,145420,146438.333614,145420,146438.333588,Not Reported,0,Designated,2010,Collaborative governance,Not Reported,OSPAR Commission/Contracting Parties; other Cas,Not Reported,State Verified,883,Not Reported,ABNJ,ABNJ,0,1,145179.97860674572,0,2513.500132272934,2513.50013227293,0.0173129942323614
555512241,555512241,1,Charlie-Gibbs South High Seas MPA,Charlie-Gibbs South High Seas MPA,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Not Applicable,2,145420,146438.333614,145420,146438.333588,Not Reported,0,Designated,2010,Collaborative governance,Not Reported,OSPAR Commission/Contracting Parties; other Cas,Not Reported,State Verified,883,Not Reported,ABNJ,ABNJ,0,1,145179.97860674572,0,2513.499926050018,2513.49992605002,0.0173129928118975
354083,354083_A,1,Freycinet,Freycinet,Commonwealth Marine Reserve,Commonwealth Marine Reserve,National,II,Not Applicable,2,56792.6543193,56830.5500072,56792.6543193,56830.5921635,All,56792.6543193,Designated,2012,Federal or national ministry or agency,Not Reported,AU-DOEE,https://www.comlaw.gov.au/Details/F2013L00423/Explanatory%20Statement/Text,State Verified,1804,AU-COM,AUS,AUS,0,1,0.744843115005263,0,2509.112688454468,0.000420220159933437,0.00056417271163266
555512062,555512062,1,Kermadec,Kermadec,Benthic Protection Area,Benthic Protection Area,National,VI,Not Applicable,2,469276.0989,460051.073886,469276.098892,460049.844022,Part,469276.0989,Designated,2007,Federal or national ministry or agency,Not Reported,Ministry for Primary Industries,Not Reported,State Verified,1773,Marine,NZL,NZL,0,1,575.8415206358378,0,2501.8815186909483,11.4586214937025,0.0198989150366406
555577562,555577562,1,Natural Park of the Coral Sea,Parc Naturel de la Mer de Corail,Parc Naturel,Natural Park,National,VI,Not Applicable,2,1292962,1291642.74011,1292967,1291642.74012,Part,3236,Designated,2014,Sub-national ministry or agency,Not Reported,New Caledonian Government,http://www.affmar.gouv.nc/portal/page/portal/affmar/librairie/fichiers/26486252.PDF,State Verified,1834,Not Reported,FRA,NCL,0,1,19.437338691854716,0,2500.074076557617,0.145067033607483,0.00746331768496033
