lyr,v_at25,pcths_at25
<<<<<<< HEAD,NA,NA
=======,NA,NA
>>>>>>> 437587b2ae4e44535f13019b6bad85fa1e435245,NA,NA
bio_vgpm,462.8638916015625,13.003608826835473
nspp_bivalves,19.633699417114258,0.1573685144648879
nspp_bony.fishes,366.4938659667969,15.120392829675206
nspp_cephalopods,3.5385255813598633,3.828906111341182
nspp_cetaceans,20,12.8024611015796
nspp_chitons,1,0.6566881618647578
nspp_corals,7.1765851974487305,1.0696326095959299
nspp_crustaceans,28.418888092041016,10.431284387386855
nspp_echinoderms,6.431212902069092,1.9109033899307817
nspp_euphausiids,1,2.2291900846003667
nspp_forams,1.6026214361190796,0.18339939655682422
nspp_gastropods,18.99273109436035,0.5099686446192984
nspp_hydrozoans,9.772807121276855,0.4851209844406319
nspp_jellyfish,1,3.781577234810389
nspp_other,7.657166004180908,5.654617523516536
nspp_pinnipeds,2,3.801692007335976
nspp_reptiles,1,4.511625155297876
nspp_sea.spiders,10.263143539428711,3.7957758977696265
nspp_seagrasses,3,0.004732887653079335
nspp_sharks.n.rays,16,11.525764657161451
nspp_sponges,8.85469913482666,0.14080340767911023
nspp_tunas.n.billfishes,12,15.115659942022125
nspp_tunicates,16.15961265563965,6.682837366148021
nspp_worms,14.943763732910156,2.412589481157191
nspp_2100_bivalves,6.887732982635498,0.761994912145773
nspp_2100_bony.fishes,354.0560302734375,11.96355676507129
nspp_2100_cephalopods,3.7419631481170654,3.712950363840738
nspp_2100_cetaceans,20.47892189025879,12.867538306809442
nspp_2100_chitons,1,0.6484056084718689
nspp_2100_corals,48,1.1110453765603738
nspp_2100_crustaceans,41.33994674682617,6.964444181506241
nspp_2100_echinoderms,8.242765426635742,2.166479323197066
nspp_2100_euphausiids,5.500262260437012,0.15026918298526887
nspp_2100_forams,1.564756989479065,0.2011477252558717
nspp_2100_gastropods,18.927154541015625,0.6460391646453292
nspp_2100_hydrozoans,8.002214431762695,2.122700112406082
nspp_2100_jellyfish,1,3.580429509554517
nspp_2100_other,8.597434997558594,5.716145063006566
nspp_2100_pinnipeds,3,3.7094006981009287
nspp_2100_reptiles,2,0.8270721173756138
nspp_2100_sea.spiders,10.257645606994629,4.151925693663847
nspp_2100_seagrasses,2.921217918395996,0.007099331479619003
nspp_2100_sharks.n.rays,20,11.429923682186594
nspp_2100_sponges,5,0.3289356918890138
nspp_2100_tunas.n.billfishes,11,15.515588948707329
nspp_2100_tunicates,16.422374725341797,6.883985091403893
nspp_2100_worms,14.89579963684082,2.5226291190912855
rls_all_now,40,15.1050109448027
rls_all_future,48,12.141040052061763
phys_seamounts_gt200to800m,1,0.060344317576761515
phys_seamounts_gt800m,2,2.084837011181447
phys_seamounts_0to200m,1,0.03076376974501568
phys_vents,205,0.0011832219132698338
scapes_hetero,6,16.21960598710288
