category,layer,avg_global,avg_polytri,avg_other,dif_avg_sd,dif_pval
broad,bio_vgpm,299.82955320871577,244.87734037000843,307.94432424554077,-0.4326958103357507,0
broad,bio_now_all,313.8869917643009,381.25345518698134,304.01526843157296,0.47159001199694695,0
broad,bio_future_all,268.1719008124235,329.3172123168212,259.24178912364766,0.3963637093826096,1.1576468062453545e-291
broad,rls_all_now,26.122582402931425,27.843217166369005,25.869086372978263,0.14681823700402052,2.153478549306661e-87
broad,rls_all_future,31.68429561088637,44.329813841444285,29.82208219272226,0.8187499860890614,0
broad,seamounts_all,0.19488857686385788,0.16216458763348884,0.19961383457084103,-0.0719060085191869,7.05512643612343e-16
broad,phys_vents,0.00322719449225512,0.00403840976397742,0.00311005714730013,0.01244728467086343,0.36386617991133496
broad,scapes_hetero,4.664056912014285,4.747851293946905,4.651948751502439,0.05349241071649868,1.8555658790165398e-9
broad,rescaled_sum,0.9509344345653112,1.0229310398643574,0.9405383147134628,0.2504243644081251,1.294163391723259e-186
taxa,bivalves,3.2043850175599036,3.078024148049196,3.212112155748779,-0.01878748774657647,0.3119905761676269
taxa,bony.fishes,242.4511201044254,306.8820798450861,232.98013319324664,0.5511127045606915,0
taxa,cephalopods,1.8012470612575386,1.741128343872569,1.8098778776571225,-0.05013571760505578,3.160948962540972e-4
taxa,cetaceans,12.049507047400065,10.4431830819529,12.294811662856684,-0.2737594174090283,2.2587265809560383e-154
taxa,chitons,1.1249659641396403,1.0031884765229284,1.1339136392968443,-0.2898094823152138,1.3076229381432809e-51
taxa,corals,1.7777269966232212,1.8487153807833712,1.7675155123534716,0.01666696011595065,0.07539888440164148
taxa,crustaceans,17.871407362905675,22.47148584536652,17.188421187256917,0.3281107276971669,8.155339696739082e-247
taxa,echinoderms,2.892326693690487,2.3974266876097237,2.995764829718077,-0.13885057565150338,1.554880039902296e-31
taxa,euphausiids,1.1940679665685798,2.0100195418558857,1.182467252428392,1.0390916203592175,2.4821774728732414e-11
taxa,forams,1.2506730779540765,1.0844576152471397,1.2568867401113455,-0.3916562647783845,1.4180732633925525e-5
taxa,gastropods,4.256003231310747,5.248659195188761,4.149504891303306,0.10982666534354613,1.4961981238555025e-12
taxa,hydrozoans,3.4932356175928265,3.661278512877659,3.4767711247923705,0.03027267313827997,0.2596413036544813
taxa,jellyfish,1.101153272229688,1.114983113450156,1.0994082474483833,0.0413710897535015,0.08001291697608967
taxa,other,3.9002752237409832,3.446287243770597,3.9679145010826,-0.12157567277257268,8.417301309510176e-27
taxa,pinnipeds,1.6160030586094134,1,1.6380566583678835,-0.6848032437848864,0
taxa,reptiles,1.1091610952836617,1.058738043258509,1.1171886843186367,-0.16302806830901737,1.2953566036257482e-36
taxa,sea.spiders,4.19638249853835,4.167003720384527,4.198563173650491,-0.00519423112395243,0.6419393985328345
taxa,sharks.n.rays,10.707385876428695,11.503021966412362,10.565466516546111,0.16000422899864503,2.633359089159662e-44
taxa,sponges,3.3994494350305993,3.001968865632382,3.430273798340451,-0.11248147848320922,0.01802753740341277
taxa,tunas.n.billfishes,9.037869375630336,10.804104861079155,8.704756866293426,0.5638669469497527,0
taxa,tunicates,8.48288576927541,5.593143008788839,8.717064578604667,-0.3752221058738123,1.5639761841118632e-283
taxa,worms,3.7061885472958203,3.8990700303668313,3.6885319223756077,0.04282227303486245,0.02499482174848732
